Phonological Forms,Syllabic Structures,Number of Syllables,Written Forms,Syntactic Categories,Frequency,Stress Patterns
ʔɒ.se.mi.lɒn,CV.CV.CV.CVC,4,آ‌ث‌ميلان,N1,31,WWWS
ʔɒ.ʔort,CV.CVCC,2,آئورت,N1,5,WS
ʔɒ.jeʃ,CV.CVC,2,آئيش,N1,3,WS
ʔɒ.ʔin,CV.CVC,2,آئين,N1,585,WS
ʔɒ.ʔin.bæn.di,CV.CVC.CVC.CV,4,آئين‌بندي,N1,1,WWWS
ʔɒ.ʔin.nɒ.me,CV.CVC.CV.CV,4,آئين‌نامه,N1,330,WWWS
ʔɒ.ʔin.nɒ.me.ʔi,CV.CVC.CV.CV.CV,5,آئين‌نامه‌اي,A0,60,WWWWS
ʔɒ.ʔi.ne,CV.CV.CV,3,آئينه,N1,210,WWS
ʔɒ.ʔi.ne.ʔi,CV.CV.CV.CV,4,آئينه‌اي,A0,15,WWWS
ʔɒ.ʔi.ne.χɒ.ne,CV.CV.CV.CV.CV,5,آئينه‌خانه,N1,5,WWWWS
ʔɒ.ʔi.ne.dɒr,CV.CV.CV.CVC,4,آئينه‌دار,A0,1,WWWS
ʔɒ.ʔi.ne.cɒ.ri,CV.CV.CV.CV.CV,5,آئينه‌كاري‌‌,N1,75,WWWWS
ʔɒ.ʔi.ni,CV.CV.CV,3,آئيني,A0,60,WWS
ʔɒb,CVC,1,آب,N1,3885,S
ʔɒb,CVC,1,آب,V1,5000,S
ʔɒ.bɒ.lu,CV.CV.CV,3,آب‌آلو,N1,1,WWS
ʔɒ.bɒ.hæc,CV.CV.CVC,3,آب‌آهك,N1,1,WWS
ʔɒ.bɒ.vær.de.ɟi,CV.CV.CVC.CV.CV,5,آب‌آوردگي,N1,1,WWWWS
ʔɒ.bɒ.vær.de,CV.CV.CVC.CV,4,آب‌آورده,A0,1,WWWS
ʔɒ.boc.si.ʒe.ne,CV.CVC.CV.CV.CV,5,آب‌اكسيژنه,N1,1,WWWWS
ʔɒ.bæn.bɒr,CV.CVC.CVC,3,آب‌انبار,N1,75,WWS
ʔɒb.bɒ.ri.ce,CVC.CV.CV.CV,4,آب‌باريكه,N1,1,WWWS
ʔɒb.bɒz,CVC.CVC,2,آب‌باز,N1,1,WS
ʔɒb.bɒ.zɒn,CVC.CV.CVC,3,آب‌بازان,N1,1,WWS
ʔɒb.bɒ.zi,CVC.CV.CV,3,آب‌بازي,N1,2,WWS
ʔɒb.bor,CVC.CVC,2,آب‌بر,N1,1,WS
ʔɒb.bor.de.ɟi,CVC.CVC.CV.CV,4,آب‌بردگي,N1,1,WWWS
ʔɒb.bo.ræn.de,CVC.CV.CVC.CV,4,آب‌برنده,N1,1,WWWS
ʔɒb.bo.ro,CVC.CV.CV,3,آب‌برو,A0,1,WWS
ʔɒb.bænd,CVC.CVCC,2,آب‌بند,N1,6,WS
ʔɒb.bæn.di,CVC.CVC.CV,3,آب‌بندي,N1,1,WWS
ʔɒb.bæn.di.ʃo.de,CVC.CVC.CV.CV.CV,5,آب‌بندي‌شده,A0,1,WWWWS
ʔɒb.bæ.hɒ,CVC.CV.CV,3,آب‌بها,N1,30,WWS
ʔɒb.pɒ.ʃi,CVC.CV.CV,3,آب‌پاشي,N1,6,WWS
ʔɒb.pæχʃ.con,CVC.CVCC.CVC,3,آب‌پخش‌كن,N1,2,WWS
ʔɒb.pæχ.ʃɒn,CVC.CVC.CVC,3,آب‌پخشان,N1,1,WWS
ʔɒb.por.te.Gɒl,CVC.CVC.CV.CVC,4,آب‌پرتقال,N1,3,WWWS
ʔɒb.pær.de,CVC.CVC.CV,3,آب‌پرده,N1,1,WWS
ʔɒb.pær.de.dɒ.rɒn,CVC.CVC.CV.CV.CVC,5,آب‌پرده‌داران,N1,1,WWWWS
ʔɒb.pæz,CVC.CVC,2,آب‌پز,A0,15,WS
ʔɒb.puʃ,CVC.CVC,2,آب‌پوش,N1,1,WS
ʔɒb.pu.ʃi,CVC.CV.CV,3,آب‌پوشي,N1,1,WWS
ʔɒb.tæ.rɒz,CVC.CV.CVC,3,آب‌تراز,A0,1,WWS
ʔɒb.tæ.rɒʃ,CVC.CV.CVC,3,آب‌تراش,A0,1,WWS
ʔɒb.tær.si,CVC.CVC.CV,3,آب‌ترسي,N1,1,WWS
ʔɒb.tæ.re,CVC.CV.CV,3,آب‌تره,N1,1,WWS
ʔɒb.tæn.bɒ.cu,CVC.CVC.CV.CV,4,آب‌تنباكو,N1,1,WWWS
ʔɒb.tæ.ni,CVC.CV.CV,3,آب‌تني,N1,1,WWS
ʔɒb.ʧe.cɒn,CVC.CV.CVC,3,آب‌چكان,N1,2,WWS
ʔɒ.be.hoz.ceʃ,CV.CV.CVC.CVC,4,آب‌حوض‌كش,N1,1,WWWS
ʔɒb.ho.zi,CVC.CV.CV,3,آب‌حوضي,N1,1,WWS
ʔɒb.χɒ.ci,CVC.CV.CV,3,آب‌خاكي,A0,1,WWS
ʔɒb.χoʃc.con,CVC.CVCC.CVC,3,آب‌خشك‌كن,A0,1,WWS
ʔɒb.χo.næc,CVC.CV.CVC,3,آب‌خنك,N1,1,WWS
ʔɒb.χor.de,CVC.CVC.CV,3,آب‌خورده,A0,1,WWS
ʔɒb.χo.ri,CVC.CV.CV,3,آب‌خوري,N1,1,WWS
ʔɒb.dær.mɒ.ni,CVC.CVC.CV.CV,4,آب‌درماني,N1,3,WWWS
ʔɒb.dozd,CVC.CVCC,2,آب‌دزد,N1,1,WS
ʔɒb.doz.dæc,CVC.CVC.CVC,3,آب‌دزدك,N1,1,WWS
ʔɒb.de.hi,CVC.CV.CV,3,آب‌دهي,N1,3,WWS
ʔɒb.di.de,CVC.CV.CV,3,آب‌ديده,A0,1,WWS
ʔɒb.re.sɒn,CVC.CV.CVC,3,آب‌رسان,A0,1,WWS
ʔɒb.rost,CVC.CVCC,2,آب‌رست,A0,1,WS
ʔɒb.ro.Gæn,CVC.CV.CVC,3,آب‌روغن,N1,1,WWS
ʔɒb.ri.zi,CVC.CV.CV,3,آب‌ريزي,N1,1,WWS
ʔɒ.be.zærd,CV.CV.CVCC,3,آب‌زرد,N1,15,WWS
ʔɒb.ze.reʃc,CVC.CV.CVCC,3,آب‌زرشك,N1,1,WWS
ʔɒb.zi.po,CVC.CV.CV,3,آب‌زيپو,N1,1,WWS
