صورت واجی,صورت نوشتاری,کد مقوله نحوی,بسامد,الگوی تکیه
"،،،",ـ,Si,800,WS
!!!,!,Si,800,WS
"""","""",Si,500,WS
"،،،",(,Si,1,WS
qoddesaserroh,(ره),Exp,1,WWWWS
salavAtollAh'alayh,(ص),Exp,1,WWWWWWS
'alayhessalAm,(ع),Exp,2,WWWWS
'ajalallAhota'AlA,(عج),Exp,1,WWWWWWWS
qablazmilAd,(ق م),Exp,1,WWWS
qablazmilAd,(ق.‌م),Exp,1,WWWS
hejriyeSamsi,(ه.ش),Exp,1,WWWWS
hejriyeqamari,(ه.ق),Exp,1,WWWWWS
"،،،",),Si,1,WS
---,.,Si,3000,WS
'o,/,Si,100,
"،،،",:,Si,400,WS
"،،،",[,Si,100,WS
"،،،",],Si,100,WS
"،،،",{,Si,100,WS
"،،،",},Si,100,WS
"،،،","،",Si,2000,WS
"،،،",؛,Si,300,WS
~~~,؟,Si,1000,WS
"،،،",<,Si,100,WS
"،،،",>,Si,100,WS
"،،،",«,Si,100,WS
"،،،",»,Si,100,WS
sefr,0,No,1,S
yek,1,No,1,S
dah,10,No,1,S
yeksad,100,No,1,S
yekhezAr,1000,No,1,WS
yekmilyun,1000000,No,1,WS
yekmilyArd,1000000000,No,1,WS
yAzdah,11,No,1,WS
davAzdah,12,No,1,WWS
sizdah,13,No,1,WS
CAhArdah,14,No,1,WWS
pAnzdah,15,No,1,WS
SAnzdah,16,No,1,WS
hefdah,17,No,1,WS
hejdah,18,No,1,WS
nuzdah,19,No,1,WS
do,2,No,1,S
bist,20,No,1,S
divist,200,No,1,WS
se,3,No,1,S
si,30,No,1,S
sisad,300,No,1,WS
CAhAr,4,No,1,WS
Cehel,40,No,1,WS
CAhArsad,400,No,1,WWS
panj,5,No,1,S
panjAh,50,No,1,WS
pAnsad,500,No,1,WS
SeS,6,No,1,S
Sast,60,No,1,S
SeSsad,600,No,1,WS
haft,7,No,1,S
haftAd,70,No,1,WS
haftsad,700,No,1,WS
haSt,8,No,1,S
haStAd,80,No,1,WS
haStsad,800,No,1,WS
noh,9,No,1,S
navad,90,No,1,WS
nohsad,900,No,1,WS
'ey,A,Al,1,S
'ey,a,Al,2,S
bi,b,Al,1,S
bi,B,Al,2,S
si,C,Al,1,S
si,c,Al,2,S
di,D,Al,1,S
di,d,Al,2,S
'i,E,Al,1,S
'i,e,Al,2,S
'ef,f,Al,1,S
'ef,F,Al,2,S
ji,g,Al,1,S
ji,G,Al,2,S
'e',h,Al,1,S
'e',H,Al,2,S
'Ay,i,Al,1,S
'Ay,I,Al,2,S
jey,j,Al,1,S
jey,J,Al,2,S
key,k,Al,1,S
key,K,Al,2,S
'el,l,Al,1,S
'el,L,Al,2,S
'em,m,Al,1,S
'em,M,Al,2,S
'en,N,Al,1,S
'en,n,Al,2,S
'o,o,Al,1,S
'o,O,Al,2,S
pi,p,Al,1,S
pi,P,Al,2,S
kiyu,q,Al,1,WS
kiyu,Q,Al,2,WS
'Ar,r,Al,1,S
'Ar,R,Al,2,S
'es,S,Al,1,S
'es,s,Al,2,S
ti,t,Al,1,S
ti,T,Al,2,S
yu,U,Al,1,S
yu,u,Al,2,S
vi,v,Al,1,S
vi,V,Al,2,S
dabelyu,W,Al,1,WWS
dabelyu,w,Al,2,WWS
'iks,x,Al,1,S
'iks,X,Al,2,S
vAy,Y,Al,1,S
vAy,y,Al,2,S
zed,z,Al,1,S
zed,Z,Al,2,S
'A,آ,Ab,1,S
'A,آ,Al,1,S
'AsemilAn,آ‌ث‌ميلان,N1,31,WWWS
'Ase'An,آ‌سه‌آن,N2,68,WWS
'A'ort,آئورت,N1,5,WS
'AyeS,آئيش,N1,3,WS
'A'in,آئين,N1,585,WS
'A'inbandi,آئين‌بندي,N1,1,WWWS
'A'innAme,آئين‌نامه,N1,330,WWWS
'A'innAme'i,آئين‌نامه‌اي,A0,60,WWWWS
'A'ine,آئينه,N1,210,WWS
'A'ine'i,آئينه‌اي,A0,15,WWWS
'A'inexAne,آئينه‌خانه,N1,5,WWWWS
'A'inedAr,آئينه‌دار,A0,1,WWWS
'A'inekAri,آئينه‌كاري‌‌,N1,75,WWWWS
'A'ini,آئيني,A0,60,WWS
'Ab,آب,N1,3885,S
'Ab,آب,V1,5000,S
'AbAlu,آب‌آلو,N1,1,WWS
'AbAhak,آب‌آهك,N1,1,WWS
'AbAvardegi,آب‌آوردگي,N1,1,WWWWS
'AbAvarde,آب‌آورده,A0,1,WWWS
'AboksiZene,آب‌اكسيژنه,N1,1,WWWWS
'AbanbAr,آب‌انبار,N1,75,WWS
'AbbArike,آب‌باريكه,N1,1,WWWS
'AbbAz,آب‌باز,N1,1,WS
'AbbAzAn,آب‌بازان,N1,1,WWS
'AbbAzi,آب‌بازي,N1,2,WWS
'Abbor,آب‌بر,N1,1,WS
'Abbordegi,آب‌بردگي,N1,1,WWWS
'Abborande,آب‌برنده,N1,1,WWWS
'Abboro,آب‌برو,A0,1,WWS
'Abband,آب‌بند,N1,6,WS
'Abbandi,آب‌بندي,N1,1,WWS
